label,insee_code,loyer_m2,logements_etudiants,logements_sociaux,meteo_type,secteurs_dominants
Saint-Genis-Laval,,12.3,1066,5332,Montagne,"Industrie, Recherche"
Saint-Germain-en-Laye,,25.7,2264,11321,Tempérée,"Finance, Luxe, Santé"
Saint-Gratien,,25.7,1064,5324,Tempérée,"Finance, Luxe, Santé"
Saint-Herblain,,11.9,2528,12640,Océanique,"Naval, Agro"
Saint-Jean-de-Braye,,10.2,1104,5522,Tempérée,"Agro, Pharmaceutique"
Saint-Joseph,,12.0,1949,9748,Tempérée,"Services, Commerce"
Saint-Laurent-du-Maroni,,12.0,2586,12933,Tempérée,"Services, Commerce"
Saint-Laurent-du-Var,,14.6,1582,7911,Ensoleillée,"Tourisme, Santé"
Saint-Leu,,12.0,1779,8899,Tempérée,"Services, Commerce"
Saint-Louis,,12.0,2723,13619,Tempérée,"Services, Commerce"
Saint-Louis,,11.5,1126,5632,Froide,"Énergie, Industrie"
Saint-Malo,,11.2,2362,11813,Océanique,"Numérique, Éducation"
Saint-Mandé,,25.7,1061,5305,Tempérée,"Finance, Luxe, Santé"
Saint-Martin,,12.0,1597,7987,Tempérée,"Services, Commerce"
Saint-Martin-d'Hères,,12.3,1901,9505,Montagne,"Industrie, Recherche"
Saint-Maur-des-Fossés,,25.7,3800,19002,Tempérée,"Finance, Luxe, Santé"
Saint-Michel-sur-Orge,,25.7,1076,5384,Tempérée,"Finance, Luxe, Santé"
Saint-Médard-en-Jalles,,13.4,1637,8187,Océanique,"Agroalimentaire, Vin"
Saint-Nazaire,,11.9,3655,18277,Océanique,"Naval, Agro"
Saint-Ouen-l'Aumône,,25.7,1280,6403,Tempérée,"Finance, Luxe, Santé"
Saint-Ouen-sur-Seine,,25.7,2652,13260,Tempérée,"Finance, Luxe, Santé"
Saint-Paul,,12.0,5311,26555,Tempérée,"Services, Commerce"
Saint-Pierre,,12.0,4262,21313,Tempérée,"Services, Commerce"
Saint-Priest,,12.3,2459,12298,Montagne,"Industrie, Recherche"
Saint-Quentin,,10.5,2649,13248,Froide,"Logistique, Commerce"
Saint-Raphaël,,14.6,1831,9158,Ensoleillée,"Tourisme, Santé"
Saint-Sébastien-sur-Loire,,11.9,1418,7093,Océanique,"Naval, Agro"
Saint-Étienne,,12.3,8628,43142,Montagne,"Industrie, Recherche"
Saint-Étienne-du-Rouvray,,9.3,1432,7163,Océanique,"Agro, Maritime"
Sainte-Anne,,12.0,1220,6103,Tempérée,"Services, Commerce"
Sainte-Foy-lès-Lyon,,12.3,1094,5473,Montagne,"Industrie, Recherche"
Sainte-Geneviève-des-Bois,,25.7,1785,8928,Tempérée,"Finance, Luxe, Santé"
Sainte-Marie,,12.0,1779,8896,Tempérée,"Services, Commerce"
Sainte-Suzanne,,12.0,1242,6213,Tempérée,"Services, Commerce"
Saintes,,13.4,1265,6328,Océanique,"Agroalimentaire, Vin"
Salon-de-Provence,,14.6,2227,11138,Ensoleillée,"Tourisme, Santé"
Sannois,,25.7,1338,6693,Tempérée,"Finance, Luxe, Santé"
Sarcelles,,25.7,2928,14644,Tempérée,"Finance, Luxe, Santé"
Sarreguemines,,11.5,1016,5081,Froide,"Énergie, Industrie"
Sartrouville,,25.7,2578,12892,Tempérée,"Finance, Luxe, Santé"
Saumur,,11.9,1303,6518,Océanique,"Naval, Agro"
Savigny-le-Temple,,25.7,1531,7657,Tempérée,"Finance, Luxe, Santé"
Savigny-sur-Orge,,25.7,1888,9443,Tempérée,"Finance, Luxe, Santé"
Sceaux,,25.7,1037,5185,Tempérée,"Finance, Luxe, Santé"
Schiltigheim,,11.5,1719,8595,Froide,"Énergie, Industrie"
Sens,,10.4,1363,6818,Tempérée,"Agro, Mécanique"
Sevran,,25.7,2582,12910,Tempérée,"Finance, Luxe, Santé"
Six-Fours-les-Plages,,14.6,1842,9210,Ensoleillée,"Tourisme, Santé"
Soissons,,10.5,1433,7166,Froide,"Logistique, Commerce"
Sotteville-lès-Rouen,,9.3,1451,7259,Océanique,"Agro, Maritime"
Stains,,25.7,2030,10150,Tempérée,"Finance, Luxe, Santé"
Strasbourg,,11.5,14585,72927,Froide,"Énergie, Industrie"
Sucy-en-Brie,,25.7,1379,6898,Tempérée,"Finance, Luxe, Santé"
Suresnes,,25.7,2446,12233,Tempérée,"Finance, Luxe, Santé"
Sète,,13.0,2254,11272,Ensoleillée,"Aérospatial, Santé"
Sèvremoine,,11.9,1288,6441,Océanique,"Naval, Agro"
Sèvres,,25.7,1139,5695,Tempérée,"Finance, Luxe, Santé"
Talence,,13.4,2293,11467,Océanique,"Agroalimentaire, Vin"
Tarbes,,13.0,2226,11132,Ensoleillée,"Aérospatial, Santé"
Tassin-la-Demi-Lune,,12.3,1140,5704,Montagne,"Industrie, Recherche"
Taverny,,25.7,1353,6766,Tempérée,"Finance, Luxe, Santé"
Thiais,,25.7,1600,8001,Tempérée,"Finance, Luxe, Santé"
Thionville,,11.5,2138,10694,Froide,"Énergie, Industrie"
Thonon-les-Bains,,12.3,1884,9422,Montagne,"Industrie, Recherche"
Torcy,,25.7,1146,5734,Tempérée,"Finance, Luxe, Santé"
Toulon,,14.6,9041,45208,Ensoleillée,"Tourisme, Santé"
Toulouse,,13.0,25584,127921,Ensoleillée,"Aérospatial, Santé"
Tourcoing,,10.5,4958,24790,Froide,"Logistique, Commerce"
Tournefeuille,,13.0,1486,7431,Ensoleillée,"Aérospatial, Santé"
Tours,,10.2,6933,34667,Tempérée,"Agro, Pharmaceutique"
Trappes,,25.7,1713,8569,Tempérée,"Finance, Luxe, Santé"
Tremblay-en-France,,25.7,1910,9552,Tempérée,"Finance, Luxe, Santé"
Troyes,,11.5,3122,15610,Froide,"Énergie, Industrie"
Valence,,12.3,3214,16072,Montagne,"Industrie, Recherche"
Valenciennes,,10.5,2148,10744,Froide,"Logistique, Commerce"
Vallauris,,14.6,1428,7144,Ensoleillée,"Tourisme, Santé"
Vandœuvre-lès-Nancy,,11.5,1484,7424,Froide,"Énergie, Industrie"
Vannes,,11.2,2747,13738,Océanique,"Numérique, Éducation"
Vanves,,25.7,1425,7126,Tempérée,"Finance, Luxe, Santé"
Vaulx-en-Velin,,12.3,2622,13112,Montagne,"Industrie, Recherche"
Vernon,,9.3,1242,6210,Océanique,"Agro, Maritime"
Versailles,,25.7,4195,20979,Tempérée,"Finance, Luxe, Santé"
Vertou,,11.9,1302,6512,Océanique,"Naval, Agro"
Vichy,,12.3,1285,6425,Montagne,"Industrie, Recherche"
Vienne,,12.3,1577,7888,Montagne,"Industrie, Recherche"
Vierzon,,10.2,1262,6313,Tempérée,"Agro, Pharmaceutique"
Vigneux-sur-Seine,,25.7,1561,7808,Tempérée,"Finance, Luxe, Santé"
Villefranche-sur-Saône,,12.3,1811,9056,Montagne,"Industrie, Recherche"
Villejuif,,25.7,2907,14535,Tempérée,"Finance, Luxe, Santé"
Villemomble,,25.7,1498,7493,Tempérée,"Finance, Luxe, Santé"
Villenave-d'Ornon,,13.4,2109,10546,Océanique,"Agroalimentaire, Vin"
Villeneuve-Saint-Georges,,25.7,1808,9042,Tempérée,"Finance, Luxe, Santé"
Villeneuve-d'Ascq,,10.5,3117,15585,Froide,"Logistique, Commerce"
Villeneuve-la-Garenne,,25.7,1278,6391,Tempérée,"Finance, Luxe, Santé"
Villeneuve-le-Roi,,25.7,1043,5217,Tempérée,"Finance, Luxe, Santé"
Villeneuve-sur-Lot,,13.4,1100,5501,Océanique,"Agroalimentaire, Vin"
Villeparisis,,25.7,1339,6698,Tempérée,"Finance, Luxe, Santé"
Villepinte,,25.7,1982,9911,Tempérée,"Finance, Luxe, Santé"
Villeurbanne,,12.3,8110,40551,Montagne,"Industrie, Recherche"
Villiers-le-Bel,,25.7,1461,7309,Tempérée,"Finance, Luxe, Santé"
Villiers-sur-Marne,,25.7,1627,8136,Tempérée,"Finance, Luxe, Santé"
Vincennes,,25.7,2418,12092,Tempérée,"Finance, Luxe, Santé"
Viry-Châtillon,,25.7,1555,7778,Tempérée,"Finance, Luxe, Santé"
Vitrolles,,14.6,1830,9153,Ensoleillée,"Tourisme, Santé"
Vitry-sur-Seine,,25.7,4764,23820,Tempérée,"Finance, Luxe, Santé"
Voiron,,12.3,1080,5401,Montagne,"Industrie, Recherche"
Vélizy-Villacoublay,,25.7,1124,5620,Tempérée,"Finance, Luxe, Santé"
Vénissieux,,12.3,3335,16675,Montagne,"Industrie, Recherche"
Wasquehal,,10.5,1033,5168,Froide,"Logistique, Commerce"
Wattrelos,,10.5,2044,10220,Froide,"Logistique, Commerce"
Yerres,,25.7,1417,7087,Tempérée,"Finance, Luxe, Santé"
Échirolles,,12.3,1835,9177,Montagne,"Industrie, Recherche"
Élancourt,,25.7,1317,6587,Tempérée,"Finance, Luxe, Santé"
Épernay,,11.5,1101,5505,Froide,"Énergie, Industrie"
Épinal,,11.5,1614,8074,Froide,"Énergie, Industrie"
Épinay-sur-Seine,,25.7,2678,13391,Tempérée,"Finance, Luxe, Santé"
Étampes,,25.7,1330,6650,Tempérée,"Finance, Luxe, Santé"
Évreux,,9.3,2416,12083,Océanique,"Agro, Maritime"
Évry-Courcouronnes,,25.7,3335,16675,Tempérée,"Finance, Luxe, Santé"
